ds,yhat,yhat_lower,yhat_upper
1/31/2011,120817.64397288043,94751.63938664302,147064.71920923138
2/28/2011,112144.12962321332,85529.69383729498,137866.8264704661
3/31/2011,179032.00339380765,155084.64160163628,204922.65639788724
4/30/2011,137001.8163894363,111275.58083605417,163047.4437001054
5/31/2011,152619.83015401088,127063.55926307937,180353.25152774496
6/30/2011,203205.64795124516,177805.02201835834,229229.32009124616
7/31/2011,144275.9645103929,117667.1105745635,170634.76472219234
8/31/2011,229826.5358978929,204642.57357280274,259243.49297437115
9/30/2011,240542.62789440685,215083.8947234433,265989.3506
10/31/2011,197994.14666310055,171419.88240037093,223968.8297916311
11/30/2011,247869.21992062498,222017.0841352032,272999.9368339385
12/31/2011,264581.5684478512,240177.7946794931,294122.99300645216
1/31/2012,158008.52375448763,132450.60906486565,183778.11171394837
2/29/2012,145743.72689907474,120244.0486,172847.1914638106
3/31/2012,190394.98315234293,164734.8319355839,216222.4849
4/30/2012,179986.77401026856,154187.8287885635,206690.93513534553
5/31/2012,224528.00557805249,198061.89837894714,249632.9365734779
6/30/2012,259928.86907710266,234357.8847587861,286578.59922642814
7/31/2012,159486.89390930423,133299.82902457137,185448.2105155273
8/31/2012,275693.8570064188,249556.47389100457,301096.1466139452
9/30/2012,260810.73636795973,233760.34044202976,285813.00723092974
10/31/2012,239023.41503634432,214070.09912082346,263838.8461079418
11/30/2012,315335.44135868177,289188.10168751364,341816.5812226226
12/31/2012,300248.9400521385,272723.1822143424,326711.4728138096
1/31/2013,215355.93938038094,190427.74141162494,243183.58731933415
2/28/2013,196095.2079609534,170269.9026931719,221932.1046712048
3/31/2013,250898.75575901422,225914.09821767916,277904.0874
4/30/2013,232558.4769043427,207380.84421956065,260393.8133204577
5/31/2013,269713.05016840604,244082.4247150818,295991.67434545734
6/30/2013,312223.72441926046,287982.40109113074,337217.7698173517
7/31/2013,228165.71234487637,201533.03057545432,255671.9438405473
8/31/2013,336814.76120226923,311930.3758356721,361562.57987527485
9/30/2013,332925.1118162923,305493.5018617028,360088.89089353016
10/31/2013,306846.56813864247,281313.9676294542,334237.1177807327
11/30/2013,376551.25078985794,350100.9804632151,400317.39432882477
12/31/2013,372822.65907373466,344757.8851422097,400360.0109918385
1/31/2014,281529.5158740889,256370.21164600574,308111.68616463157
2/28/2014,268651.56187568826,242868.91792000795,296793.51711988053
3/31/2014,330890.9017253192,305409.60503133264,357512.7897090089
4/30/2014,302025.8722280186,274730.5215138762,326465.74736064795
5/31/2014,329555.89977973286,303385.34205227933,356201.4976276305
6/30/2014,377144.25670109526,350297.60500564374,403900.32301859965
7/31/2014,306943.1234164508,282990.9269275309,333309.98931462894
8/31/2014,405383.66885652835,378012.2959410937,432640.0993219056
9/30/2014,410039.46689668973,382867.6673602837,436157.38777644205
10/31/2014,377049.10797401133,350485.1112849076,404907.70206903026
11/30/2014,437947.64914994506,412288.8023928099,463606.52527822467
12/31/2014,445645.3133957055,417568.2910256633,471121.4181003504
1/31/2015,347948.4529459388,322052.74339776905,373874.14641230693
2/28/2015,341524.2221045901,315220.4246141673,365934.0449710216
3/31/2015,410902.3740456183,384199.05014696723,434534.89301438193
4/30/2015,371282.13365757756,346299.68356807093,397482.83426084806
5/31/2015,389390.4255922216,363330.3984372113,414910.7270193399
6/30/2015,442386.19000630017,414685.9003717751,467379.9073896169
